Dates,NZ_Runs
01/18/14,292
01/21/14,271
01/24/14,314
01/27/14,278
01/30/14,303
02/05/14,503
02/09/14,105
02/13/14,192
02/18/14,680
03/15/16,126
09/22/16,262
09/26/16,236
09/30/16,204
10/03/16,197
10/08/16,299
10/11/16,153
10/16/16,190
10/20/16,242
10/23/16,285
10/26/16,260
10/29/16,79
05/28/17,189
10/22/17,284
10/25/17,230
10/29/17,331
11/01/17,149
11/04/17,196
11/07/17,61
01/22/19,157
01/25/19,234
01/27/19,243
01/30/19,93
02/02/19,217
02/06/19,219
02/08/19,158
02/10/19,212
05/25/19,180
07/09/19,239
01/24/20,203
01/26/20,132
02/02/20,156
02/04/20,348
02/07/20,273
02/10/20,300
02/20/20,348
02/24/20,9
02/28/20,235
03/02/20,132
06/18/21,249
06/23/21,140
10/31/21,111
11/17/21,164
11/19/21,153
11/21/21,111
11/24/21,296
11/29/21,165
12/02/21,62
12/07/21,167
11/20/22,126
11/22/22,160
