Dates,IND_Runs
01/18/14,268
01/21/14,277
01/24/14,314
01/27/14,280
01/30/14,216
02/05/14,202
02/09/14,366
02/13/14,438
02/18/14,166
03/15/16,79
09/22/16,318
09/26/16,377
09/30/16,316
10/03/16,263
10/08/16,557
10/11/16,216
10/16/16,194
10/20/16,236
10/23/16,289
10/26/16,241
10/29/16,269
05/28/17,129
10/22/17,280
10/25/17,232
10/29/17,337
11/01/17,202
11/04/17,156
11/07/17,67
01/22/19,156
01/25/19,324
01/27/19,245
01/30/19,92
02/02/19,252
02/06/19,139
02/08/19,162
02/10/19,208
05/25/19,179
07/09/19,221
01/24/20,204
01/26/20,135
02/02/20,163
02/04/20,347
02/07/20,251
02/10/20,296
02/20/20,165
02/24/20,191
02/28/20,242
03/02/20,124
06/18/21,217
06/23/21,170
10/31/21,110
11/17/21,166
11/19/21,155
11/21/21,184
11/24/21,345
11/29/21,234
12/02/21,325
12/07/21,276
